"PMN.CD49d.24h.Veh"	"PMN.CD49d.24h.PAF"	"Mono.CD11b.24h.Veh"	"Mono.CD11b.24h.PAF"	"Mono.CD162.24h.Veh"	"Mono.CD162.24h.PAF"	"Platelet.CD63.24h.Veh"	"Platelet.CD63.24h.PAF"	"Mono.CD49d.24h.Veh"	"Mono.CD49d.24h.PAF"	"Platelet.CD62P.24h.Veh"	"Platelet.CD62P.24h.PAF"
"RvD1"	0.510863657815038	0.320803186273321	0.367846461545107	0.978345877697711	0.960770644673064	0.951261804219012	0.0416554168039396	0.253202908109023	0.918292116861917	0.783429190858591	0.0151171424538357	0.0723555180774115
"AT.RvD1"	0.0525669827031463	0.182477195927142	0.883589020513348	0.550563788995615	0.991966951361216	0.951261804219012	0.367141130383419	0.562638206078498	0.918292116861917	0.828000310291135	0.953315237999694	0.871269860872826
"RvD2"	0.857699014635469	0.815715672757323	0.883589020513348	0.302433484840201	0.960770644673064	0.963862392369059	0.2841011214837	0.345792283582918	0.979919062238992	0.643317698212009	0.608217006735528	0.4586512379382
"RvD3"	0.910407654463444	0.82342936988478	0.367846461545107	0.978345877697711	0.960770644673064	0.951261804219012	0.503517695854158	0.576152246028371	0.918292116861917	0.887812023419504	0.329165482557814	0.150361896014501
"AT.RvD3"	0.839865868249422	0.689198420467598	0.883589020513348	0.967948499649371	0.960770644673064	0.951261804219012	0.6043925965574	0.576152246028371	0.979919062238992	0.828000310291135	0.329165482557814	0.645396987083339
"RvD4"	0.778368279003911	0.665698197146792	0.883589020513348	0.978345877697711	0.960770644673064	0.951261804219012	0.681292394024659	0.612446593621296	0.703164037907589	0.783429190858591	0.485815074333387	0.443524354541983
"RvD5"	0.767985350679461	0.689198420467598	0.883589020513348	0.272653911928354	0.960770644673064	0.951261804219012	0.338972481846321	0.562638206078498	0.82391202735298	0.643317698212009	0.329165482557814	0.689014488919938
"RvD6"	0.537830822569449	0.519025394183194	0.883589020513348	0.907975279260342	0.960770644673064	0.951261804219012	0.933177032397834	0.639435024715944	0.714519626784623	0.887812023419504	0.971889380868114	0.689014488919938
"PD1"	0.259673503306073	0.326803487691069	0.883589020513348	0.0531588117581299	0.960770644673064	0.951261804219012	0.591730240667526	0.576152246028371	0.979919062238992	0.643317698212009	0.682929750485201	0.689014488919938
"PDx"	0.449846395056829	0.273356077589625	0.915799952740394	0.302433484840201	0.834290385727844	0.356175845300698	0.901559425946846	0.612446593621296	0.979919062238992	0.887812023419504	0.485815074333387	0.871269860872826
"AT.PD1"	0.993933968171026	0.815715672757323	0.644708005783714	0.978345877697711	0.960770644673064	0.951261804219012	0.503517695854158	0.576152246028371	0.866617323600441	0.643317698212009	0.485815074333387	0.689014488919938
"X22.OH"	0.993933968171026	0.939733589201309	0.619241833750913	0.550563788995615	0.960770644673064	0.951261804219012	0.367141130383419	0.562638206078498	0.862266698248582	0.935800220442851	0.409117495162911	0.4586512379382
"PCTR1"	0.778368279003911	0.939733589201309	0.883589020513348	0.978345877697711	0.960770644673064	0.951261804219012	0.875762928254193	0.631194421154504	0.82391202735298	0.759523073360659	0.608217006735528	0.689014488919938
"PCTR2"	0.839865868249422	0.82342936988478	0.883589020513348	0.302433484840201	0.960770644673064	0.951261804219012	0.966086870090793	0.986032546153919	0.0839764256772893	0.643317698212009	0.709714551678115	0.728875221340936
"PCTR3"	0.767985350679461	0.815715672757323	0.471201422949972	0.40169973314998	0.121976735655094	0.343684108698017	0.630592937569707	0.576152246028371	0.833981917434998	0.643317698212009	0.608217006735528	0.519455055262255
"RvD1n.3.DPA"	0.957596107343601	0.815715672757323	0.883589020513348	0.508323428609239	0.960770644673064	0.951261804219012	0.681292394024659	0.562638206078498	0.714519626784623	0.887812023419504	0.709714551678115	0.689014488919938
"RvD2n.3.DPA"	0.839865868249422	0.815715672757323	0.644708005783714	0.840165161417924	0.960770644673064	0.951261804219012	0.367141130383419	0.576152246028371	0.866617323600441	0.643317698212009	0.329165482557814	0.519455055262255
"RvD5n.3DPA"	0.210131102309156	0.285737453278963	0.883589020513348	0.272653911928354	0.960770644673064	0.951261804219012	0.367141130383419	0.562638206078498	0.82391202735298	0.643317698212009	0.682929750485201	0.689014488919938
"PD1n.3DPA"	0.302433484840201	0.245704932045867	0.883589020513348	0.302433484840201	0.887540194470076	0.529239044104266	0.676800112965193	0.576152246028371	0.703164037907589	0.643317698212009	0.966452959070313	0.689014488919938
"PD2n.3.DPA"	0.210131102309156	0.182477195927142	0.619241833750913	0.967948499649371	0.960770644673064	0.951261804219012	0.367141130383419	0.562638206078498	0.953760399914084	0.643317698212009	0.329165482557814	0.519455055262255
"MaR1n.3DPA"	0.175265208335417	0.261038378323718	0.367846461545107	0.272653911928354	0.991966951361216	0.951261804219012	0.875762928254193	0.576152246028371	0.0381719180683915	0.643317698212009	0.608217006735528	0.689014488919938
"MaR2n.3.DPA"	0.302433484840201	0.345956619069481	0.644708005783714	0.272653911928354	0.960770644673064	0.951261804219012	0.931566934444354	0.631194421154504	0.918292116861917	0.783429190858591	0.938296797987317	0.924278313805489
"RvE1"	0.210131102309156	0.689198420467598	0.883589020513348	0.436949407840774	0.960770644673064	0.951261804219012	0.875762928254193	0.576152246028371	0.953760399914084	0.935800220442851	0.608217006735528	0.689014488919938
"RvE2"	0.839865868249422	0.940340446569099	0.883589020513348	0.840165161417924	0.960770644673064	0.951261804219012	0.875762928254193	0.576152246028371	0.82391202735298	0.887812023419504	0.329165482557814	0.154443353061477
