"PMN.CD49d.24h.Veh"	"PMN.CD49d.24h.PAF"	"Mono.CD11b.24h.Veh"	"Mono.CD11b.24h.PAF"	"Mono.CD162.24h.Veh"	"Mono.CD162.24h.PAF"	"Platelet.CD63.24h.Veh"	"Platelet.CD63.24h.PAF"	"Mono.CD49d.24h.Veh"	"Mono.CD49d.24h.PAF"	"Platelet.CD62P.24h.Veh"	"Platelet.CD62P.24h.PAF"
"RvD1"	-0.218701583590057	-0.0856101593658446	-0.0553948090014289	-0.042445373130965	0.302872916748072	0.545315132767313	-0.125897293185066	-0.0669054186640635	-0.244600455330985	0.145321446990761	-0.358267725749501	-0.166184427004287
"AT.RvD1"	0.433088650479955	0.172219085262563	-0.370976849237719	-0.230942970073405	-0.330321852060982	-0.0739695087521174	-0.0988142292490119	-0.124788255223038	0.0559006211180124	0.238848108413326	0.167701863354037	0.207227555053642
"RvD2"	-0.214628644537198	-0.059870095581429	0.128212374499853	-0.0372776066827766	-0.0553515978016986	0.131601247834651	-0.2648969323367	-0.0965828900417393	-0.35526688793131	0.0463146022422376	-0.129341998944785	0.00112962444493262
"RvD3"	-0.0909090909090909	-0.103331451157538	-0.332580463015246	-0.361942405420666	-0.307735742518351	-0.298701298701299	-0.470355731225296	-0.453416149068323	-0.239977413890457	-0.0886504799548278	-0.164313946922643	-0.149632975719932
"AT.RvD3"	0.188029361942405	0.297571993224167	-0.24901185770751	-0.183512140033879	-0.24223602484472	0.0559006211180124	-0.209486166007905	-0.189158667419537	0.0333145115753811	0.255787690570299	0.0276679841897233	0.00959909655561829
"RvD4"	0.198193111236589	-0.0796160361377753	-0.411631846414455	-0.232072275550536	-0.132693393562959	0.031055900621118	-0.245623941276115	-0.279503105590062	-0.165443252399774	-0.0152456239412761	-0.128176171654433	-0.0152456239412761
"RvD5"	0.0479954827780915	-0.131564088085827	-0.262563523433089	-0.39356295878035	-0.208356860530774	-0.233201581027668	-0.173348390739695	-0.255787690570299	-0.0818746470920384	-0.293054771315641	0.128176171654433	0.0796160361377753
"RvD6"	0.300169779178481	0.0853590144179861	-0.218767805163978	-0.00621820634833011	-0.353307178882393	-0.441492650731438	0.0039570404034828	-0.181458567073997	0.231204217860638	0.0209157849898377	0.335217851323614	0.0344827806589215
"PD1"	0.20609824957651	0.0954263128176172	-0.241106719367589	-0.286278938452851	-0.437605872388481	-0.368718238283456	-0.0242800677583286	-0.0197628458498024	0.0062111801242236	0.0321852060982496	0.13382269904009	0.0118577075098814
"PDx"	0.350649350649351	0.00846979107848673	-0.174477696216827	-0.142857142857143	-0.280632411067194	-0.452286843591191	-0.0592885375494071	-0.188029361942405	0.203839638622247	-0.0694522868435912	0.346132128740824	0.107848673066064
"AT.PD1"	0.311392753440604	0.134594669985316	0.0273751871156575	0.0530394250365864	-0.208735801756888	-0.222423395314717	0.293142628696832	0.368994709663133	0.0809849285504867	0.000570316398242864	0.305119273059932	0.479636090922249
"X22.OH"	0.0365002494875433	-0.290291046705618	0.0262345543191717	0.00456253118594291	-0.075281764568058	-0.123188342020459	-0.108930432064387	-0.169383970278131	-0.0159688591508002	-0.233829723279574	0.289720730307375	-0.148852579941388
"PCTR1"	-0.061564532248828	0.0197684277863209	-0.227054513431457	-0.100536575599004	-0.109573571158464	-0.20672127342267	-0.119175378940392	-0.386331560166957	0.0248517377885177	-0.0609997200263617	0.290313482347684	-0.0101666200043936
"PCTR2"	0.0423489553924336	0.0479954827780915	-0.122529644268775	0.093167701863354	-0.165443252399774	-0.0875211744776962	-0.038961038961039	-0.0649350649350649	0.269339356295878	0.2128740824393	0.354037267080745	0.115753811405985
"PCTR3"	0.102317759004341	0.199547894632775	0.0141322871552957	0.140757580066745	-0.159977490597947	-0.29677803026121	-0.152063409790982	-0.102317759004341	0.0537026911901237	-0.118145920618272	0.329564936461496	0.0243075339071086
"RvD1n.3.DPA"	0.259813622334503	0.11183282004833	-0.123129064497656	0.052527536689367	-0.652922929171056	-0.565377034688778	-0.283535735678089	-0.107879134491066	0.162665920070298	0.310646722356472	0.12256425227519	0.328155901252927
"RvD2n.3.DPA"	-0.00508187464709204	0.124788255223038	-0.142857142857143	-0.22755505364201	0.000564652738565782	0.0954263128176172	-0.184641445511011	-0.0434782608695652	-0.246753246753247	0.14059853190288	-0.244494635798984	0.0062111801242236
"RvD5n.3DPA"	-0.214245473274283	-0.0717920187489022	-0.0548332741625474	-0.107970673866459	0.0638779379419366	-0.233465383805485	-0.0966648441422227	-0.0209157849898377	-0.161108073570371	-0.190503230853386	0.059355606052242	0.14527991195644
"PD1n.3DPA"	0.201581027667984	0.0863918690005646	-0.421795595708639	-0.220779220779221	-0.395821569734613	-0.386787125917561	-0.10446075663467	-0.224167137210615	-0.049124788255223	-0.128176171654433	0.24223602484472	0.192546583850932
"PD2n.3.DPA"	-0.0131172771595859	-0.153985427525573	-0.190485677013117	-0.188204411420145	-0.253220480819832	-0.48191735651522	-0.201892004977974	-0.237251621669031	-0.00285158199121432	-0.205884219765674	0.253790797218075	0.0901099909223725
"MaR1n.3DPA"	0.204968944099379	0.17673630717109	-0.341614906832298	-0.238848108413326	-0.584415584415584	-0.286278938452851	-0.312252964426877	-0.319028797289667	-0.103331451157538	0.0660643704121965	0.149632975719932	0.0163749294184077
"MaR2n.3.DPA"	-0.00526331899533513	-0.214626452365332	-0.216965705252148	-0.268429268762091	-0.0976638080245518	-0.329249843819297	-0.128074095553155	-0.138600733543825	-0.0274862214200834	-0.206439067261478	-0.111699325345445	-0.136261480657009
"RvE1"	-0.0203332400087872	0.0785088989228173	-0.10110138782147	-0.0655182178060922	-0.0146851177841241	0.208415710090069	0.0785088989228173	-0.103360636711335	-0.165489981182629	0.0429257289074397	0.177351037854422	0.0440553533523723
"RvE2"	0.352907961603614	0.244494635798984	-0.390175042348955	-0.150762281197064	-0.349520045172219	-0.246753246753247	-0.157538114059853	-0.250141163184641	0.0367024280067758	-0.0412196499153021	0.302089215132693	-0.031055900621118
"RvE3"	0.43038691351933	0.222536015651727	-0.0225924888986525	0.025416550010984	-0.446201655748386	-0.407229612398211	0.0564812222466312	0.0875458944822783	0.0768144622554184	0.0158147422290567	0.218582330094463	0.237785945658317
