"PMN.CD49d.24h.Veh"	"PMN.CD49d.24h.PAF"	"Mono.CD11b.24h.Veh"	"Mono.CD11b.24h.PAF"	"Mono.CD162.24h.Veh"	"Mono.CD162.24h.PAF"	"Platelet.CD63.24h.Veh"	"Platelet.CD63.24h.PAF"	"Mono.CD49d.24h.Veh"	"Mono.CD49d.24h.PAF"	"Platelet.CD62P.24h.Veh"	"Platelet.CD62P.24h.PAF"
"AT.PD1"	0.00172139252178224	0.117661712683224	0.265668245861726	-0.0338540529283841	0.179598619772614	0.100414563770631	0.288620146152156	0.249601915658425	-0.164679884583835	-0.297800906268328	0.27599660099242	0.220912040295388
"X22.OH"	0.0107894982102471	0.0278334072302968	-0.325388551287978	-0.229986672376319	-0.147077896655473	-0.124363163581269	-0.352646230977023	-0.34015312778621	0.1834214695742	-0.0278255480159003	-0.332202971210239	-0.360596387552994
"PCTR1"	0.161948553962215	0.0303031287376266	0.144960943406738	-0.0271801768887633	-0.0537941000923441	-0.0787092622403772	0.105323185443958	0.127407079166078	-0.236694040406314	-0.190827491906526	0.210080117202733	0.143828436036373
"PCTR2"	-0.115515751777244	-0.0889269385384555	-0.0945643654254891	-0.362968612202027	0.0424690263886927	0.116082005462427	0.00962631264810368	-0.00396377579627799	-0.560024894645561	-0.293319408924571	-0.134202123388269	0.114383244406879
"PCTR3"	0.177237403462144	0.109034622093329	-0.386751266979695	-0.309740765794865	-0.577578758886221	-0.516989614571686	-0.215742654054559	-0.213477639313829	-0.202152565610177	-0.257645426758069	-0.193092506647256	-0.292186901554206
"RvD1n.3.DPA"	0.0338887333479787	-0.138135593220339	0.147980802286174	0.259248810112037	-0.152499300065904	-0.193165780083479	0.164925168960163	0.309517097911539	0.311776346801404	0.0604349078038954	0.127647562277386	0.134990121169449
"RvD2n.3.DPA"	0.0954263128176172	0.11183282004833	-0.268210050818746	0.138339920948617	0.0502540937323546	0.0525127046866177	-0.343873517786561	-0.247882552230378	0.156408808582722	0.279503105590062	-0.410502540937324	-0.304347826086956
"RvD5n.3DPA"	-0.424054206662902	-0.38124825016476	-0.102202145680407	-0.435347261434218	-0.13382269904009	-0.201581027667984	0.39356295878035	0.308865047995483	-0.225296442687747	-0.279503105590062	0.157538114059853	0.147374364765669
"PD1n.3DPA"	-0.351778656126482	-0.442247970191122	-0.0739695087521174	-0.384528514963298	-0.354037267080745	-0.403726708074534	0.185770750988142	0.182382834556748	-0.348390739695087	-0.246753246753247	0.0208921513269339	0.139469226425748
"PD2n.3.DPA"	-0.440102688068994	-0.513119859213668	0.318457616529715	-0.0809054485237655	0.116480893973932	0.0246732928122122	0.388460912415527	0.296653311253807	-0.0625439282914216	-0.247306725629382	0.36780420215414	0.305834071369979
"MaR1n.3DPA"	-0.492941840767928	-0.419090669070003	-0.435347261434218	-0.418407679277244	0.00282326369282891	0.0355731225296443	-0.0773574251835121	-0.184641445511011	-0.645398080180689	-0.419536984754376	-0.194805194805195	-0.193675889328063
"MaR2n.3.DPA"	-0.361269851146479	-0.326254245848092	-0.282560588906102	-0.417328965979554	0.1234433033698	0.0424690263886927	0.040770265333145	-0.124575810740165	-0.134202123388269	-0.173273627665866	-0.0498303242960661	-0.0215176400369376
"RvE1"	-0.428571428571429	-0.195425028973344	-0.193675889328063	-0.288537549407115	0.147374364765669	0.101072840203275	-0.0762281197063806	-0.216261998870694	-0.057029926595144	-0.0186335403726708	-0.214003387916431	-0.145115753811406
"RvE2"	-0.105590062111801	-0.0169443666739894	-0.121400338791643	-0.142857142857143	0.0807453416149068	0.031055900621118	-0.0954263128176172	-0.260304912478825	-0.237718802936194	-0.0660643704121965	-0.383399209486166	-0.50197628458498
"RvE3"	-0.495200451722191	-0.46709970797964	-0.0536420101637493	-0.0592885375494071	-0.0592885375494071	-0.0875211744776962	0.207227555053642	0.171089779785432	-0.111236589497459	-0.215132693393563	0.11914172783738	-0.0468661773009599
